ticker,date,shares_outstanding,float_shares,iwf
AFL,2023-10-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-23,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-25,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-10-31,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-02,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-03,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-09,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-10,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-16,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-17,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-24,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-29,540644992.0,535871132.0,0.9911700652542066
AFL,2023-11-30,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-01,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-04,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-05,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-06,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-07,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-08,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-11,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-12,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-13,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-14,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-15,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-18,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-19,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-20,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-21,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-22,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-26,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-27,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-28,540644992.0,535871132.0,0.9911700652542066
AFL,2023-12-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-04,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-24,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-25,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-30,540644992.0,535871132.0,0.9911700652542066
AFL,2024-01-31,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-02,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-07,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-14,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-15,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-20,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-21,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-27,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-28,540644992.0,535871132.0,0.9911700652542066
AFL,2024-02-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-01,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-04,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-07,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-08,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-14,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-15,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-20,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-21,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-25,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-03-27,540644992.0,535871132.0,0.9911700652542066
